CustomerID,Name,Age,Address,City,State,ZipCode,VerizonPlan,AmazonPrimeStatus,DeviceMake,DeviceModel,AcceptedOffer
221958,Bradley Olson,34,8244 Jamie Gateway Suite 070,Miami,TX,67881,Basic,Yes,Google,Galaxy S21,"First purchase: Buy two phones, one on us"
771155,Victoria Smith,22,2566 David Squares Suite 226,Houston,FL,16966,Premium,Yes,Huawei,iPhone 13,"First purchase: Buy two phones, one on us"
231932,Andrea Serrano,46,4823 Lindsay Lane,Boston,CA,60242,Basic,No,OnePlus,OnePlus 9,"First purchase: Buy two phones, one on us"
465838,Raymond Powell,21,90358 Jones Mountain,Houston,OR,81098,Basic,Yes,Google,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount"
359178,Stephanie Moody,27,7171 Danielle Ports,Cincinnati,TX,21301,Basic,Yes,Samsung,iPhone 13,"Bundle in TV shows, movies, or series: 10% discount"
744167,Andrea Walters,34,49361 Melissa Crest,Washington,MA,32016,Basic,Yes,Apple,P40 Pro,Buy a tablet: 30% off on us
210268,Kathryn Santana,27,5392 Martinez Ford Suite 675,Columbus,TN,17786,Basic,Yes,Huawei,Pixel 6,"First purchase: Buy two phones, one on us"
832180,Sophia Ward,34,6759 Thompson Ridge,Detroit,FL,58165,Basic,Yes,Google,P40 Pro,"First purchase: Buy two phones, one on us"
154886,Ralph Cohen,37,38330 Andrea Greens Apt. 690,Washington,CO,63373,Premium,No,Samsung,iPhone 13,"First purchase: Buy two phones, one on us"
237337,Frederick King,41,7496 Powell Village,San Antonio,TX,82582,Basic,No,Google,Pixel 6,"First purchase: Buy two phones, one on us"
621430,Nancy Abbott,22,3949 Herman Views Suite 262,Detroit,MN,26531,Standard,No,Google,P40 Pro,"First purchase: Buy two phones, one on us"
187498,Samantha Hudson,51,7500 Todd Crossing Apt. 180,New York,NV,59696,Basic,No,OnePlus,OnePlus 9,"Bundle in TV shows, movies, or series: 10% discount"
999159,Theodore Hoover,23,7252 Jeremy Terrace Apt. 440,Detroit,TX,29713,Basic,Yes,OnePlus,OnePlus 9,"First purchase: Buy two phones, one on us"
275203,Timothy Ward,19,0679 Jason Forest Apt. 821,Cleveland,IL,70899,Premium,Yes,OnePlus,iPhone 13,Buy a tablet: 30% off on us
291335,Cameron Sanchez,30,1278 Juan Key,Tampa,GA,42898,Premium,No,Samsung,Pixel 6,"First purchase: Buy two phones, one on us"
378167,Brian Decker,60,771 Griffith Bridge Apt. 621,Cincinnati,TX,61917,Standard,Yes,Google,Galaxy S21,"First purchase: Buy two phones, one on us"
141090,Madison Patrick,60,346 Erin Underpass,Boston,MO,56254,Standard,Yes,Apple,Pixel 6,"First purchase: Buy two phones, one on us"
429365,Chelsey Williams,65,885 Collins Loaf,Boston,OR,78519,Premium,No,Huawei,OnePlus 9,Buy a tablet: 30% off on us
164820,Anthony Miller,28,20756 Collins Flats Apt. 978,Indianapolis,IN,10739,Premium,Yes,OnePlus,P40 Pro,"First purchase: Buy two phones, one on us"
887201,Melissa Moreno,68,49489 Susan Curve Apt. 044,Denver,NV,82979,Basic,No,OnePlus,Galaxy S21,Buy a tablet: 30% off on us
421879,Shelby Thomas,64,737 Scott Bridge,Nashville,CA,65419,Premium,No,Google,iPhone 13,Buy a tablet: 30% off on us
818315,Carol Perkins,40,33968 Miller Fords Apt. 799,Columbus,WA,47157,Standard,Yes,Google,Galaxy S21,"Bundle in TV shows, movies, or series: 10% discount"
427069,Anthony Ball,33,495 Stewart Forks Suite 083,Houston,WA,70277,Basic,Yes,Samsung,iPhone 13,Buy a tablet: 30% off on us
876997,Daniel Castro,48,65923 Kaylee Pines Suite 939,Cincinnati,MO,15358,Standard,No,Samsung,Galaxy S21,20% off Amazon Prime subscription
299041,Alexandra Yates,28,862 Hansen Mission Apt. 567,Chicago,NY,78823,Basic,No,OnePlus,iPhone 13,"Bundle in TV shows, movies, or series: 10% discount"
891743,Tina Fowler,33,588 Espinoza Overpass,Miami,TX,59235,Premium,Yes,Google,iPhone 13,"First purchase: Buy two phones, one on us"
203355,Christina Vargas,25,74898 Harris Spring Suite 249,Nashville,TX,42771,Standard,No,Apple,Galaxy S21,"First purchase: Buy two phones, one on us"
335796,Anna Miller,21,15353 Clifford Manors Suite 923,Columbus,CA,89952,Basic,No,Huawei,Galaxy S21,"First purchase: Buy two phones, one on us"
314176,Christina Gallegos,57,617 James Corner,San Francisco,TX,6856,Basic,No,Google,iPhone 13,Free upgrade to the next Verizon plan tier for 3 months
284779,Benjamin Harvey,21,031 Thomas Shoals Apt. 686,Nashville,DC,51949,Premium,Yes,Google,OnePlus 9,Buy a tablet: 30% off on us
447449,Renee Dodson,42,111 Chapman Run,Fort Worth,AZ,32000,Premium,No,Samsung,Galaxy S21,Buy a tablet: 30% off on us
521909,Thomas Nelson,20,331 Eric Prairie Apt. 756,New York,CA,60415,Premium,Yes,Huawei,Pixel 6,"First purchase: Buy two phones, one on us"
358795,Roger Smith,49,1861 Smith Haven Apt. 959,San Diego,MO,76213,Standard,No,OnePlus,P40 Pro,"First purchase: Buy two phones, one on us"
586232,Timothy Fischer,20,616 Lane Forks Suite 352,Denver,FL,90543,Basic,Yes,Google,iPhone 13,Free upgrade to the next Verizon plan tier for 3 months
600186,Ian Scott,44,207 Bradley Pines Suite 802,Denver,TN,39693,Premium,No,OnePlus,iPhone 13,Buy a tablet: 30% off on us
256730,Tammy James,46,71056 Amanda Common,Las Vegas,FL,27199,Standard,Yes,Google,P40 Pro,"First purchase: Buy two phones, one on us"
970910,Kimberly Mckee,49,75167 Hannah Causeway Suite 862,Fort Worth,TX,58256,Standard,Yes,OnePlus,OnePlus 9,Free upgrade to the next Verizon plan tier for 3 months
484681,Allen Wright,67,84107 Caitlin Harbor,Cleveland,MO,66200,Standard,Yes,Huawei,P40 Pro,"First purchase: Buy two phones, one on us"
249503,Aaron Spears,68,7642 Thomas Forges,Minneapolis,CA,82941,Premium,No,Samsung,Galaxy S21,20% off Amazon Prime subscription
754811,Sarah Flores,36,77806 Bowen Falls Suite 974,Cleveland,CA,1919,Premium,No,Huawei,P40 Pro,"First purchase: Buy two phones, one on us"
627035,Ronald Olsen,38,49615 Kyle Loop Suite 366,Los Angeles,MA,95035,Basic,No,Apple,iPhone 13,"First purchase: Buy two phones, one on us"
748143,Jessica Booker,22,861 Diane Burgs,Indianapolis,AZ,36889,Basic,Yes,Samsung,P40 Pro,Buy a tablet: 30% off on us
552366,Jonathan Calhoun,35,5060 Cynthia Knolls Apt. 715,Los Angeles,FL,60873,Premium,No,Huawei,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount"
165725,Joshua Zamora,45,237 Barber Passage Apt. 179,Nashville,OR,927,Standard,Yes,Apple,Galaxy S21,Buy a tablet: 30% off on us
229981,Allison Gonzalez,59,6253 Thomas Camp,Houston,TN,91853,Standard,No,Google,P40 Pro,"First purchase: Buy two phones, one on us"
184654,Courtney Dominguez,39,92663 Kyle Union,Washington,IL,88382,Standard,Yes,Google,iPhone 13,Buy a tablet: 30% off on us
