CustomerID,Name,Age,Address,City,State,ZipCode,VerizonPlan,AmazonPrimeStatus,DeviceMake,DeviceModel,AcceptedOffer,VerizonDataUsageGB,AmazonRegularPurchases,AmazonOfferPurchases,PeakStreamingHour,PeakStreamingDay,AmazonPrimeVideoHours
221958,Bradley Olson,34,8244 Jamie Gateway Suite 070,Miami,TX,67881,Basic,Yes,Google,Galaxy S21,"First purchase: Buy two phones, one on us",46.69,15,3,12:17,Saturday,28.99
771155,Victoria Smith,22,2566 David Squares Suite 226,Houston,FL,16966,Premium,Yes,Huawei,iPhone 13,"First purchase: Buy two phones, one on us",21.66,2,2,21:06,Friday,35.14
231932,Andrea Serrano,46,4823 Lindsay Lane,Boston,CA,60242,Basic,No,OnePlus,OnePlus 9,"First purchase: Buy two phones, one on us",1.01,4,3,02:43,Wednesday,17.93
465838,Raymond Powell,21,90358 Jones Mountain,Houston,OR,81098,Basic,Yes,Google,Pixel 6,"Bundle in TV shows, movies, or series: 10% discount",27.1,14,5,20:17,Monday,41.51
359178,Stephanie Moody,27,7171 Danielle Ports,Cincinnati,TX,21301,Basic,Yes,Samsung,iPhone 13,"Bundle in TV shows, movies, or series: 10% discount",45.76,4,8,09:16,Wednesday,48.97
744167,Andrea Walters,34,49361 Melissa Crest,Washington,MA,32016,Basic,Yes,Apple,P40 Pro,Buy a tablet: 30% off on us,35.26,14,0,18:07,Saturday,17.82
210268,Kathryn Santana,27,5392 Martinez Ford Suite 675,Columbus,TN,17786,Basic,Yes,Huawei,Pixel 6,"First purchase: Buy two phones, one on us",35.27,10,1,14:15,Sunday,26.81
832180,Sophia Ward,34,6759 Thompson Ridge,Detroit,FL,58165,Basic,Yes,Google,P40 Pro,"First purchase: Buy two phones, one on us",27.89,17,9,07:06,Tuesday,22.74
154886,Ralph Cohen,37,38330 Andrea Greens Apt. 690,Washington,CO,63373,Premium,No,Samsung,iPhone 13,"First purchase: Buy two phones, one on us",27.7,7,9,01:52,Sunday,24.51
237337,Frederick King,41,7496 Powell Village,San Antonio,TX,82582,Basic,No,Google,Pixel 6,"First purchase: Buy two phones, one on us",3.2,10,2,16:27,Thursday,34.67
621430,Nancy Abbott,22,3949 Herman Views Suite 262,Detroit,MN,26531,Standard,No,Google,P40 Pro,"First purchase: Buy two phones, one on us",36.79,8,3,06:05,Tuesday,16.2
187498,Samantha Hudson,51,7500 Todd Crossing Apt. 180,New York,NV,59696,Basic,No,OnePlus,OnePlus 9,"Bundle in TV shows, movies, or series: 10% discount",30.27,1,6,00:20,Sunday,45.08
999159,Theodore Hoover,23,7252 Jeremy Terrace Apt. 440,Detroit,TX,29713,Basic,Yes,OnePlus,OnePlus 9,"First purchase: Buy two phones, one on us",5.25,9,6,19:25,Tuesday,10.84
275203,Timothy Ward,19,0679 Jason Forest Apt. 821,Cleveland,IL,70899,Premium,Yes,OnePlus,iPhone 13,Buy a tablet: 30% off on us,21.68,17,2,02:37,Sunday,14.38
291335,Cameron Sanchez,30,1278 Juan Key,Tampa,GA,42898,Premium,No,Samsung,Pixel 6,"First purchase: Buy two phones, one on us",26.19,15,5,00:33,Thursday,35.37
378167,Brian Decker,60,771 Griffith Bridge Apt. 621,Cincinnati,TX,61917,Standard,Yes,Google,Galaxy S21,"First purchase: Buy two phones, one on us",38.54,19,1,10:36,Monday,42.27
